ID,className,METHOD,callchain,score
cn.nc.pub.msg.facade.controller.outside.PubParameterRuleQueryController#getParameterRule,cn.nc.pub.msg.facade.controller.outside.PubParameterRuleQueryController,getParameterRule,1,1
cn.nc.user.reguser.facade.controller.UnbindThirdInstUserController#unbindThirdInstUserByCheckcode,cn.nc.user.reguser.facade.controller.UnbindThirdInstUserController,unbindThirdInstUserByCheckcode,1,1
cn.nc.channel.mix.controller.channel.issuedbond.QueryIssuedFinancialBondsController#queryIssuedFinancialBonds,cn.nc.channel.mix.controller.channel.issuedbond.QueryIssuedFinancialBondsController,queryIssuedFinancialBonds,1,1
cn.nc.user.xfile.facade.controller.XFileExtController#batchDeleteByIds,cn.nc.user.xfile.facade.controller.XFileExtController,batchDeleteByIds,4,19
cn.nc.issuance.bid.facade.controller.biddingManagement.bidInfoMgmt.QueryBidInfoMgmtHpController#handle,cn.nc.issuance.bid.facade.controller.biddingManagement.bidInfoMgmt.QueryBidInfoMgmtHpController,handle,1,1
cn.nc.issuance.book.dcm.query.facade.controller.hisinfoquery.RegistrationNoticeDownLoadController#handle,cn.nc.issuance.book.dcm.query.facade.controller.hisinfoquery.RegistrationNoticeDownLoadController,handle,1,1
cn.nc.issuance.book.dcm.query.facade.controller.hisinfoquery.PublishSolutionBatchDownLoadController#doService,cn.nc.issuance.book.dcm.query.facade.controller.hisinfoquery.PublishSolutionBatchDownLoadController,doService,3,19
cn.nc.pub.msg.facade.controller.parameterTemplate.ParameterTemplateDeleteController#doService,cn.nc.pub.msg.facade.controller.parameterTemplate.ParameterTemplateDeleteController,doService,7,34
cn.nc.issuance.book.dcm.query.facade.controller.bondAdd.BondBookManagerListController#doService,cn.nc.issuance.book.dcm.query.facade.controller.bondAdd.BondBookManagerListController,doService,1,1
cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.PublishSuccBondQueryController#publishSuccBondInfoQuery,cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.PublishSuccBondQueryController,publishSuccBondInfoQuery,1,1
cn.nc.issuance.book.dcm.facade.controller.pricingplacing.HolderAccountQueryController#handle,cn.nc.issuance.book.dcm.facade.controller.pricingplacing.HolderAccountQueryController,handle,1,1
cn.nc.issuance.book.dcm.query.facade.controller.systemadmin.PreviewLocalAppointmentListController#handle,cn.nc.issuance.book.dcm.query.facade.controller.systemadmin.PreviewLocalAppointmentListController,handle,1,1
cn.nc.issuance.dist.facade.controller.DistCheckMemController#handle,cn.nc.issuance.dist.facade.controller.DistCheckMemController,handle,1,1
cn.nc.issuance.bid.facade.controller.biddingresultMgmt.PaymentAmountEnterConfirmController#paymentAmountConfirm,cn.nc.issuance.bid.facade.controller.biddingresultMgmt.PaymentAmountEnterConfirmController,paymentAmountConfirm,1,1
cn.nc.channel.auth.outer.facade.controller.AppUserResetPwdController#doService,cn.nc.channel.auth.outer.facade.controller.AppUserResetPwdController,doService,3,11
cn.nc.user.query.facade.controller.GetUserInfoByUserIdController#doService,cn.nc.user.query.facade.controller.GetUserInfoByUserIdController,doService,4,16
cn.nc.user.archive.facade.controller.QueryArchivedSubController#queryArchivedListSub,cn.nc.user.archive.facade.controller.QueryArchivedSubController,queryArchivedListSub,1,1
cn.nc.issuance.dist.facade.controller.external.DCMForExternalSelectBondReportController#selectBondReport,cn.nc.issuance.dist.facade.controller.external.DCMForExternalSelectBondReportController,selectBondReport,1,1
cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.BondPublishProcessDetailQueryController#handle,cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.BondPublishProcessDetailQueryController,handle,1,1
cn.nc.user.instuser.facade.controller.RevokeApproveInstUserController#instUserApproveCancel,cn.nc.user.instuser.facade.controller.RevokeApproveInstUserController,instUserApproveCancel,1,1
cn.nc.user.staff.facade.controller.MenuOutUserMenuTreeListController#doService,cn.nc.user.staff.facade.controller.MenuOutUserMenuTreeListController,doService,4,10
cn.nc.user.external.facade.controller.BussRoleListController#doService,cn.nc.user.external.facade.controller.BussRoleListController,doService,3,2
cn.nc.operation.base.facade.controller.work.WorkGroupQueryWorkItemsController#doService,cn.nc.operation.base.facade.controller.work.WorkGroupQueryWorkItemsController,doService,5,9
cn.nc.starter.file.controller.FileStoragePresignedController#downLoad,cn.nc.starter.file.controller.FileStoragePresignedController,downLoad,1,4
cn.nc.channel.msg.facade.controller.NoticeTopToggleController#doService,cn.nc.channel.msg.facade.controller.NoticeTopToggleController,doService,2,1
cn.nc.issuance.dist.facade.controller.external.DCMForExternalSellerConfirmController#sellerConfirm,cn.nc.issuance.dist.facade.controller.external.DCMForExternalSellerConfirmController,sellerConfirm,1,1
cn.nc.user.label.facade.controller.LabelListController#doService,cn.nc.user.label.facade.controller.LabelListController,doService,4,8
cn.nc.issuance.bid.facade.controller.shchTenderMgmt.TiShchBondConfirmPublishController#publishBondInfo,cn.nc.issuance.bid.facade.controller.shchTenderMgmt.TiShchBondConfirmPublishController,publishBondInfo,1,1
cn.nc.issuance.book.dcm.facade.controller.bondadjustorder.BjBondAdjustNoticeReSendController#doService,cn.nc.issuance.book.dcm.facade.controller.bondadjustorder.BjBondAdjustNoticeReSendController,doService,3,6
cn.nc.user.cfaeacct.facade.controller.ClientCfaeAcctHisListController#doService,cn.nc.user.cfaeacct.facade.controller.ClientCfaeAcctHisListController,doService,3,4
cn.nc.pub.msg.facade.controller.parameterRule.ParameterRuleExportController#doService,cn.nc.pub.msg.facade.controller.parameterRule.ParameterRuleExportController,doService,2,19
cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.BookBuildDetailDownLoadController#doService,cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.BookBuildDetailDownLoadController,doService,2,1
cn.nc.user.inst.facade.controller.InstInfoAccountOpenDocDownController#instDownAccountOpenDoc,cn.nc.user.inst.facade.controller.InstInfoAccountOpenDocDownController,instDownAccountOpenDoc,3,9
cn.nc.pub.msg.facade.controller.setting.MsgTemplateSaveController#doService,cn.nc.pub.msg.facade.controller.setting.MsgTemplateSaveController,doService,5,8
cn.nc.issuance.bid.facade.controller.bondccdc.BondPublishCcdcController#handle,cn.nc.issuance.bid.facade.controller.bondccdc.BondPublishCcdcController,handle,1,1
cn.nc.issuance.book.dcm.query.facade.controller.dcmbondadmin.BondConfirmInfoController#doService,cn.nc.issuance.book.dcm.query.facade.controller.dcmbondadmin.BondConfirmInfoController,doService,2,1
cn.nc.issuance.book.dcm.query.facade.controller.DistHisResultExportController#handle,cn.nc.issuance.book.dcm.query.facade.controller.DistHisResultExportController,handle,1,1
cn.nc.user.summary.facede.comtroller.ExportUserWorkController#exportUserWorkList,cn.nc.user.summary.facede.comtroller.ExportUserWorkController,exportUserWorkList,2,10
cn.nc.channel.backend.facade.controller.ComponentConfigDelController#componentConfigDelById,cn.nc.channel.backend.facade.controller.ComponentConfigDelController,componentConfigDelById,1,1
cn.nc.issuance.book.dcm.query.facade.controller.systemadmin.RegtrationFilesToSHCHExController#doService,cn.nc.issuance.book.dcm.query.facade.controller.systemadmin.RegtrationFilesToSHCHExController,doService,2,1
cn.nc.user.staff.facade.controller.MenuPageMenuListController#handle,cn.nc.user.staff.facade.controller.MenuPageMenuListController,handle,1,1
cn.nc.user.cfaeacct.facade.controller.ClientCfaeAcctBatchDeleteController#cfaeacctBatchDeleteClient,cn.nc.user.cfaeacct.facade.controller.ClientCfaeAcctBatchDeleteController,cfaeacctBatchDeleteClient,1,1
cn.nc.issuance.common.facade.controller.query.ContactListController#doService,cn.nc.issuance.common.facade.controller.query.ContactListController,doService,2,5
cn.nc.issuance.book.dcm.facade.controller.bondauthorize.BondAuthorizeAuditController#handle,cn.nc.issuance.book.dcm.facade.controller.bondauthorize.BondAuthorizeAuditController,handle,1,1
cn.nc.channel.msg.facade.controller.NoticeTopToggleController#handle,cn.nc.channel.msg.facade.controller.NoticeTopToggleController,handle,1,1
cn.nc.starter.file.controller.FileStorageController#downloadByUrl,cn.nc.starter.file.controller.FileStorageController,downloadByUrl,1,4
cn.nc.issuance.book.dcm.facade.controller.bondadjustorder.BjBondAdjustNoticeReSendController#handle,cn.nc.issuance.book.dcm.facade.controller.bondadjustorder.BjBondAdjustNoticeReSendController,handle,1,1
cn.nc.issuance.book.dcm.query.facade.controller.dcmbondadmin.BookPrepareCompleteCheckController#doService,cn.nc.issuance.book.dcm.query.facade.controller.dcmbondadmin.BookPrepareCompleteCheckController,doService,1,1
cn.nc.user.ukey.facade.controller.UkeyMaintainHisClientBatchApprovalRefuseController#ukeyMaintainHisBatchApprovalRefuse,cn.nc.user.ukey.facade.controller.UkeyMaintainHisClientBatchApprovalRefuseController,ukeyMaintainHisBatchApprovalRefuse,1,1
cn.nc.user.inst.facade.controller.QueryInstInfoHisListController#queryInstInfoHisList,cn.nc.user.inst.facade.controller.QueryInstInfoHisListController,queryInstInfoHisList,1,1
cn.nc.issuance.common.facade.controller.SysDictionaryAuditCheckController#doService,cn.nc.issuance.common.facade.controller.SysDictionaryAuditCheckController,doService,8,22
cn.nc.user.archive.facade.controller.QueryUnArchiveListController#doService,cn.nc.user.archive.facade.controller.QueryUnArchiveListController,doService,2,1
cn.nc.issuance.bid.facade.controller.shchTenderMgmt.TiBondListQueryController#queryBondListInfo,cn.nc.issuance.bid.facade.controller.shchTenderMgmt.TiBondListQueryController,queryBondListInfo,1,1
cn.nc.issuance.common.facade.controller.SysDictionaryAuditAddController#doService,cn.nc.issuance.common.facade.controller.SysDictionaryAuditAddController,doService,9,33
cn.nc.pub.msg.facade.controller.send.StopSmsListenerController#stopListener,cn.nc.pub.msg.facade.controller.send.StopSmsListenerController,stopListener,1,1
cn.nc.issuance.book.dcm.query.facade.controller.systemadmin.BussinessAllBillsQueryController#handle,cn.nc.issuance.book.dcm.query.facade.controller.systemadmin.BussinessAllBillsQueryController,handle,1,1
cn.nc.issuance.book.dcm.query.facade.controller.bill.BillListController#doService,cn.nc.issuance.book.dcm.query.facade.controller.bill.BillListController,doService,5,12
cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.ExportPublishedBondInfoController#doService,cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.ExportPublishedBondInfoController,doService,1,1
cn.nc.issuance.bid.facade.controller.biddingManagement.bidSuppAdmi.QueryResLeftController#doService,cn.nc.issuance.bid.facade.controller.biddingManagement.bidSuppAdmi.QueryResLeftController,doService,9,37
cn.nc.pub.msg.facade.controller.productTag.ProductTagEnableController#doService,cn.nc.pub.msg.facade.controller.productTag.ProductTagEnableController,doService,4,13
cn.nc.issuance.book.dcm.facade.controller.systemadmin.BookLocalAppointmentAuditController#doService,cn.nc.issuance.book.dcm.facade.controller.systemadmin.BookLocalAppointmentAuditController,doService,16,195
cn.nc.operation.base.facade.controller.notice.NoticeGetByIdController#doService,cn.nc.operation.base.facade.controller.notice.NoticeGetByIdController,doService,4,6
cn.nc.issuance.common.facade.controller.BillPrintController#handle,cn.nc.issuance.common.facade.controller.BillPrintController,handle,1,0
cn.nc.pub.wkcl.facade.controller.trade.TradeCalSelectController#doService,cn.nc.pub.wkcl.facade.controller.trade.TradeCalSelectController,doService,3,2
cn.nc.user.ukey.facade.controller.QueryUkeyMaintainRecordCenterController#queryUkeyMaintainRecordListForCenter,cn.nc.user.ukey.facade.controller.QueryUkeyMaintainRecordCenterController,queryUkeyMaintainRecordListForCenter,1,1
cn.nc.issuance.book.dcm.query.facade.controller.bondAdd.BondRepaymentListController#handle,cn.nc.issuance.book.dcm.query.facade.controller.bondAdd.BondRepaymentListController,handle,1,1
cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.ExportWinBiddingOrganDetailController#handle,cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.ExportWinBiddingOrganDetailController,handle,1,1
cn.nc.user.query.facade.controller.SearchThirdRelDetailsController#searchThirdRelList,cn.nc.user.query.facade.controller.SearchThirdRelDetailsController,searchThirdRelList,1,1
cn.nc.user.clientorgquery.facade.controller.ClientOrgUserHisListController#clientOrgUserHisList,cn.nc.user.clientorgquery.facade.controller.ClientOrgUserHisListController,clientOrgUserHisList,1,1
cn.nc.issuance.book.dcm.facade.controller.querystatistics.BondGroupFeeAccountBookUpdateController#doService,cn.nc.issuance.book.dcm.facade.controller.querystatistics.BondGroupFeeAccountBookUpdateController,doService,8,25
cn.nc.issuance.book.dcm.facade.controller.bondallocation.BondAllocationAuditController#handle,cn.nc.issuance.book.dcm.facade.controller.bondallocation.BondAllocationAuditController,handle,1,1
cn.nc.channel.backend.facade.controller.UnLoginPageDispController#queryUnLoginPageDispInfo,cn.nc.channel.backend.facade.controller.UnLoginPageDispController,queryUnLoginPageDispInfo,1,1
cn.nc.channel.search.facade.controller.GuestFinancialSearchController#doService,cn.nc.channel.search.facade.controller.GuestFinancialSearchController,doService,3,9
cn.nc.issuance.bid.facade.controller.bill.BillListController#doService,cn.nc.issuance.bid.facade.controller.bill.BillListController,doService,5,12
cn.nc.user.cfaeacct.facade.controller.ClientCfaeAcctDeleteController#cfaeacctDeleteClient,cn.nc.user.cfaeacct.facade.controller.ClientCfaeAcctDeleteController,cfaeacctDeleteClient,1,1
cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.QueryBookFlowNodeAdjustRecordsController#doService,cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.QueryBookFlowNodeAdjustRecordsController,doService,2,3
cn.nc.pub.msg.facade.controller.setting.MsgTemplateDeleteController#doService,cn.nc.pub.msg.facade.controller.setting.MsgTemplateDeleteController,doService,3,6
cn.nc.channel.backend.facade.controller.ComponentUnrelEntranceController#queryCmptUnrelEntrance,cn.nc.channel.backend.facade.controller.ComponentUnrelEntranceController,queryCmptUnrelEntrance,1,1
cn.nc.issuance.book.dcm.query.facade.controller.systemadmin.BondConfigManageExportController#doService,cn.nc.issuance.book.dcm.query.facade.controller.systemadmin.BondConfigManageExportController,doService,3,10
cn.nc.issuance.book.dcm.facade.controller.directinvestor.whitelist.nx.AccountWlConfirmController#accountWhiteListConfirm,cn.nc.issuance.book.dcm.facade.controller.directinvestor.whitelist.nx.AccountWlConfirmController,accountWhiteListConfirm,1,1
cn.nc.issuance.book.dcm.facade.controller.systemadmin.ReSendNoticeToXPController#doService,cn.nc.issuance.book.dcm.facade.controller.systemadmin.ReSendNoticeToXPController,doService,1,1
cn.nc.issuance.book.dcm.query.facade.controller.unannounced.UnAnnounceBondQueryMatchController#doService,cn.nc.issuance.book.dcm.query.facade.controller.unannounced.UnAnnounceBondQueryMatchController,doService,3,6
cn.nc.channel.backend.facade.controller.PageDispOrderQueryController#doService,cn.nc.channel.backend.facade.controller.PageDispOrderQueryController,doService,4,5
cn.nc.user.external.facade.controller.DepositAccListController#getDepositAccountList,cn.nc.user.external.facade.controller.DepositAccListController,getDepositAccountList,1,1
cn.nc.pub.msg.facade.controller.productInstance.ProductInstanceExportController#doService,cn.nc.pub.msg.facade.controller.productInstance.ProductInstanceExportController,doService,2,11
cn.nc.issuance.book.dcm.query.facade.controller.bondReview.BondReviewDetailController#doService,cn.nc.issuance.book.dcm.query.facade.controller.bondReview.BondReviewDetailController,doService,1,1
cn.nc.issuance.bid.facade.controller.shchTenderMgmt.TiBillModifyController#handle,cn.nc.issuance.bid.facade.controller.shchTenderMgmt.TiBillModifyController,handle,1,1
cn.nc.user.cfaeacct.facade.controller.ClientCfaeAcctCapitalQueryListController#clientCfaeAcctCapitalQueryList,cn.nc.user.cfaeacct.facade.controller.ClientCfaeAcctCapitalQueryListController,clientCfaeAcctCapitalQueryList,1,1
cn.nc.user.inst.facade.controller.QueryInstRoleRelByInstRoleIdsController#queryInstRoleRelListByInstRoleIds,cn.nc.user.inst.facade.controller.QueryInstRoleRelByInstRoleIdsController,queryInstRoleRelListByInstRoleIds,1,1
cn.nc.user.seal.facade.controller.SealHisClientBatchDeleteController#doService,cn.nc.user.seal.facade.controller.SealHisClientBatchDeleteController,doService,4,17
cn.nc.issuance.book.dcm.query.facade.controller.bondAdd.BondPublishObjectListController#doService,cn.nc.issuance.book.dcm.query.facade.controller.bondAdd.BondPublishObjectListController,doService,1,1
cn.nc.issuance.book.dcm.query.facade.controller.bondAdd.BondIntellectAdditionController#doService,cn.nc.issuance.book.dcm.query.facade.controller.bondAdd.BondIntellectAdditionController,doService,1,1
cn.nc.issuance.book.dcm.query.facade.controller.issueamountadjust.IssueAmountAdjustDownloadFileController#doService,cn.nc.issuance.book.dcm.query.facade.controller.issueamountadjust.IssueAmountAdjustDownloadFileController,doService,3,13
cn.nc.issuance.book.dcm.facade.controller.homestart.ExerciseRemindersExportBatchController#doService,cn.nc.issuance.book.dcm.facade.controller.homestart.ExerciseRemindersExportBatchController,doService,1,1
cn.nc.user.staff.facade.controller.in.PositionPermissionListController#doService,cn.nc.user.staff.facade.controller.in.PositionPermissionListController,doService,4,7
cn.nc.user.cfaeacct.facade.controller.CenterCfaeAcctHisQueryListController#centerCfaeAcctHisQueryList,cn.nc.user.cfaeacct.facade.controller.CenterCfaeAcctHisQueryListController,centerCfaeAcctHisQueryList,1,1
cn.nc.pub.msg.facade.controller.parameterGroup.ParameterGroupListQueryController#getParameterGroups,cn.nc.pub.msg.facade.controller.parameterGroup.ParameterGroupListQueryController,getParameterGroups,1,1
cn.nc.user.position.facade.controller.client.ClientPositionHisFindInfoController#handle,cn.nc.user.position.facade.controller.client.ClientPositionHisFindInfoController,handle,1,1
cn.nc.issuance.book.dcm.facade.controller.bondallocation.BondAllocationModifyController#doService,cn.nc.issuance.book.dcm.facade.controller.bondallocation.BondAllocationModifyController,doService,2,1
cn.nc.channel.auth.outer.facade.controller.InstUserQueryController#doService,cn.nc.channel.auth.outer.facade.controller.InstUserQueryController,doService,3,13
cn.nc.issuance.book.dcm.query.facade.controller.purchaseorder.PurchaseOrderListController#handle,cn.nc.issuance.book.dcm.query.facade.controller.purchaseorder.PurchaseOrderListController,handle,1,1
cn.nc.operation.base.facade.controller.task.TaskRevokeController#revoke,cn.nc.operation.base.facade.controller.task.TaskRevokeController,revoke,1,1
cn.nc.issuance.common.facade.controller.SysConfigAuditListController#doService,cn.nc.issuance.common.facade.controller.SysConfigAuditListController,doService,4,7
cn.nc.channel.mix.controller.channel.dist.QueryCompletedDistBondController#queryCompletedDistBond,cn.nc.channel.mix.controller.channel.dist.QueryCompletedDistBondController,queryCompletedDistBond,1,1
cn.nc.issuance.dist.facade.controller.external.DCMForExternalBuyerRevokeController#buyerRevoke,cn.nc.issuance.dist.facade.controller.external.DCMForExternalBuyerRevokeController,buyerRevoke,1,1
cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.OrganMonitorQueryController#doService,cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.OrganMonitorQueryController,doService,3,2
cn.nc.channel.mix.controller.issuance.QueryOptionalBondController#doService,cn.nc.channel.mix.controller.issuance.QueryOptionalBondController,doService,3,2
cn.nc.user.conf.facade.controller.CenterConfBusinessRoleLinkRoleListController#confBusinessRoleLinkRoleList,cn.nc.user.conf.facade.controller.CenterConfBusinessRoleLinkRoleListController,confBusinessRoleLinkRoleList,1,1
cn.nc.user.ukey.facade.controller.QueryUkeyExpressLastExpressTypeController#doService,cn.nc.user.ukey.facade.controller.QueryUkeyExpressLastExpressTypeController,doService,4,6
cn.nc.issuance.book.dcm.query.facade.controller.directinvestor.DirectInvestorAuthQueryController#directInvestorAuthQuery,cn.nc.issuance.book.dcm.query.facade.controller.directinvestor.DirectInvestorAuthQueryController,directInvestorAuthQuery,1,1
cn.nc.pub.wkcl.facade.controller.sys.SysTradeCalDeleteController#doService,cn.nc.pub.wkcl.facade.controller.sys.SysTradeCalDeleteController,doService,3,6
cn.nc.user.initinst.facade.controller.GetInstOpenApplyDetailsController#doService,cn.nc.user.initinst.facade.controller.GetInstOpenApplyDetailsController,doService,17,51
cn.nc.operation.base.facade.controller.work.WorkingScheduleDictDeleteController#remove,cn.nc.operation.base.facade.controller.work.WorkingScheduleDictDeleteController,remove,1,1
cn.nc.user.seal.facade.controller.QuerySealController#doService,cn.nc.user.seal.facade.controller.QuerySealController,doService,4,17
cn.nc.user.xfile.facade.controller.XFileExtController#doService,cn.nc.user.xfile.facade.controller.XFileExtController,doService,4,10
cn.nc.issuance.book.dcm.query.facade.controller.modifyinterimbondinfo.ModifyInterimCheckEditController#doService,cn.nc.issuance.book.dcm.query.facade.controller.modifyinterimbondinfo.ModifyInterimCheckEditController,doService,2,1
cn.nc.issuance.book.dcm.query.facade.controller.dcmbondadmin.ExportPurchaseHisController#doService,cn.nc.issuance.book.dcm.query.facade.controller.dcmbondadmin.ExportPurchaseHisController,doService,1,1
cn.nc.issuance.book.dcm.query.facade.controller.bond.queryCanUsedBondsController#doService,cn.nc.issuance.book.dcm.query.facade.controller.bond.queryCanUsedBondsController,doService,2,1
cn.nc.channel.backend.facade.controller.IdentityRelSelectQueryController#queryPageIdentityForSelect,cn.nc.channel.backend.facade.controller.IdentityRelSelectQueryController,queryPageIdentityForSelect,1,1
cn.nc.channel.msg.facade.controller.SilentModeToggleController#doService,cn.nc.channel.msg.facade.controller.SilentModeToggleController,doService,6,11
cn.nc.user.staff.facade.controller.in.PositionUserPositionListController#handle,cn.nc.user.staff.facade.controller.in.PositionUserPositionListController,handle,1,1
cn.nc.issuance.book.dcm.query.facade.controller.directinvestor.DirectInvestorAuthQueryController#doService,cn.nc.issuance.book.dcm.query.facade.controller.directinvestor.DirectInvestorAuthQueryController,doService,2,1
cn.nc.channel.backend.facade.controller.ComponentDropdownController#doService,cn.nc.channel.backend.facade.controller.ComponentDropdownController,doService,4,6
cn.nc.pub.wkcl.facade.controller.legal.LegalCalInitController#initYear,cn.nc.pub.wkcl.facade.controller.legal.LegalCalInitController,initYear,1,1
cn.nc.user.position.facade.controller.client.ClientPositionHisOwnerListController#doService,cn.nc.user.position.facade.controller.client.ClientPositionHisOwnerListController,doService,4,11
cn.nc.user.centerorgquery.controller.QueryInstUserRoleIdListController#doService,cn.nc.user.centerorgquery.controller.QueryInstUserRoleIdListController,doService,3,8
cn.nc.user.seal.facade.controller.SealHisClientBatchApprovalRefuseController#sealHisApprovalRefuse,cn.nc.user.seal.facade.controller.SealHisClientBatchApprovalRefuseController,sealHisApprovalRefuse,1,1
cn.nc.pub.wkcl.facade.controller.trade.TradeCalSaveController#doService,cn.nc.pub.wkcl.facade.controller.trade.TradeCalSaveController,doService,7,21
cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.UnderWriterStaticsByBondController#handle,cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.UnderWriterStaticsByBondController,handle,1,1
cn.nc.pub.msg.facade.controller.productParameter.ProductParameterSubmitController#doService,cn.nc.pub.msg.facade.controller.productParameter.ProductParameterSubmitController,doService,4,3
cn.nc.user.summary.facede.comtroller.InnerUserWorkController#doService,cn.nc.user.summary.facede.comtroller.InnerUserWorkController,doService,2,5
cn.nc.issuance.bid.facade.controller.biddingresultMgmt.QueryBiddingResultController#doService,cn.nc.issuance.bid.facade.controller.biddingresultMgmt.QueryBiddingResultController,doService,10,61
cn.nc.pub.wkcl.facade.controller.legal.LegalCalDeleteController#delete,cn.nc.pub.wkcl.facade.controller.legal.LegalCalDeleteController,delete,1,1
cn.nc.user.staff.facade.controller.in.UserUnfreezeController#handle,cn.nc.user.staff.facade.controller.in.UserUnfreezeController,handle,1,1
cn.nc.user.staff.facade.controller.ResourceFindInfoController#doService,cn.nc.user.staff.facade.controller.ResourceFindInfoController,doService,4,6
cn.nc.pub.msg.facade.controller.product.ProductDeleteController#doService,cn.nc.pub.msg.facade.controller.product.ProductDeleteController,doService,7,40
cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.QueryWinBiddingOrganDetailController#handle,cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.QueryWinBiddingOrganDetailController,handle,1,1
cn.nc.issuance.dist.facade.controller.DistBondRecordsQueryController#handle,cn.nc.issuance.dist.facade.controller.DistBondRecordsQueryController,handle,1,1
cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.PublishSuccBondExportController#doService,cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.PublishSuccBondExportController,doService,2,1
cn.nc.issuance.book.dcm.query.facade.controller.homeStart.ExerciseRemindersRecordController#doService,cn.nc.issuance.book.dcm.query.facade.controller.homeStart.ExerciseRemindersRecordController,doService,1,1
cn.nc.user.staff.facade.controller.in.PositionListController#handle,cn.nc.user.staff.facade.controller.in.PositionListController,handle,1,1
cn.nc.issuance.common.facade.controller.SysDictionaryAuditEnableController#doService,cn.nc.issuance.common.facade.controller.SysDictionaryAuditEnableController,doService,2,1
cn.nc.issuance.book.dcm.query.facade.controller.reservationmanage.ReservationManagePrintController#handle,cn.nc.issuance.book.dcm.query.facade.controller.reservationmanage.ReservationManagePrintController,handle,1,1
