className,method,score
Optional[cn.nc.channel.auth.outer.service.impl.AppMobileLoginServiceImpl],cn.nc.channel.auth.outer.service.impl.AppMobileLoginServiceImpl#getUserLoginReqDto,2
Optional[cn.nc.pub.wkcl.service.dto.log.AuditLogRespDto],cn.nc.pub.wkcl.service.dto.log.AuditLogRespDto#setOperatorId,0
Optional[cn.nc.user.reguser.converter.UserIdentifyConverter],cn.nc.user.reguser.converter.UserIdentifyConverter#toDto,0
Optional[cn.nc.issuance.dist.facade.controller.PreViewDistController],cn.nc.issuance.dist.facade.controller.PreViewDistController#doService,1
Optional[cn.nc.issuance.dist.DistModuleApplication],cn.nc.issuance.dist.DistModuleApplication#main,0
Optional[cn.nc.operation.task.engine.service.TaskManageService],cn.nc.operation.task.engine.service.TaskManageService#getCurrentUserIds,7
Optional[cn.nc.common.message.base.page.PageResp],cn.nc.common.message.base.page.PageResp#setTotal,0
Optional[cn.nc.pub.msg.service.dto.excel.MsgEmailExportDto],cn.nc.pub.msg.service.dto.excel.MsgEmailExportDto#getContent,1
Optional[cn.nc.user.staff.service.impl.PositionServiceImpl],cn.nc.user.staff.service.impl.PositionServiceImpl#list,4
Optional[cn.nc.issuance.book.dcm.facade.controller.systemadmin.BondConfigModifyController],cn.nc.issuance.book.dcm.facade.controller.systemadmin.BondConfigModifyController#handle,1
Optional[cn.nc.issuance.book.dcm.query.service.dto.hisinfoquery.TemplateDto],cn.nc.issuance.book.dcm.query.service.dto.hisinfoquery.TemplateDto#getAuditCommenta,1
Optional[cn.nc.channel.backend.service.dto.changeremind.LayoutChangeRemindQueryReqDto],cn.nc.channel.backend.service.dto.changeremind.LayoutChangeRemindQueryReqDto#getRegisterUserId,1
Optional[cn.nc.channel.backend.service.dto.component.ComponentConfigQueryRespDto],cn.nc.channel.backend.service.dto.component.ComponentConfigQueryRespDto#getComponentType,1
Optional[cn.nc.issuance.book.dcm.query.service.dto.hisinfoquery.TemplateDto],cn.nc.issuance.book.dcm.query.service.dto.hisinfoquery.TemplateDto#getAuditCommentb,1
Optional[cn.nc.issuance.book.dcm.service.dto.bill.FixedIncomeProductElementEntity],cn.nc.issuance.book.dcm.service.dto.bill.FixedIncomeProductElementEntity#setWeightedMaturity,0
Optional[cn.nc.issuance.book.dcm.query.service.dto.querystatistics.UnderWritingRatioChangeResultDto],cn.nc.issuance.book.dcm.query.service.dto.querystatistics.UnderWritingRatioChangeResultDto#setConsignPercent,0
Optional[cn.nc.pub.msg.service.dto.productInstance.BookDcmProductInstanceDto],cn.nc.pub.msg.service.dto.productInstance.BookDcmProductInstanceDto#setConsignPayEndTime,0
Optional[cn.nc.channel.backend.service.dto.homepage.UnLoginPageDispRespDto],cn.nc.channel.backend.service.dto.homepage.UnLoginPageDispRespDto#setLayoutType,0
Optional[cn.nc.user.staff.converter.OrgConverterImpl],cn.nc.user.staff.converter.OrgConverterImpl#dtoToTreeDtoList,5
Optional[cn.nc.issuance.book.dcm.service.impl.external.DCMForExternalRecNoticeDiscloseServiceImpl],cn.nc.issuance.book.dcm.service.impl.external.DCMForExternalRecNoticeDiscloseServiceImpl#createErrorExternalRespDto,1
Optional[cn.nc.channel.auth.outer.service.dto.login.LoginUserRespDto],cn.nc.channel.auth.outer.service.dto.login.LoginUserRespDto#setInstUsername,0
Optional[cn.nc.issuance.bid.service.impl.bondprice.AddIssueLessThenOneYearPriceGen],cn.nc.issuance.bid.service.impl.bondprice.AddIssueLessThenOneYearPriceGen#getPriceGenAdapterDesc,1
Optional[cn.nc.channel.backend.service.dto.user.InstUserDto],cn.nc.channel.backend.service.dto.user.InstUserDto#getBuildedOperId,1
Optional[cn.nc.issuance.book.dcm.query.facade.controller.bondAdd.BondBankAccountListController],cn.nc.issuance.book.dcm.query.facade.controller.bondAdd.BondBankAccountListController#handle,1
Optional[cn.nc.issuance.book.dcm.query.service.impl.bond.BondIssMgrServiceImpl],cn.nc.issuance.book.dcm.query.service.impl.bond.BondIssMgrServiceImpl#getDict,1
Optional[cn.nc.issuance.bid.service.impl.query.QueryBondInfoServiceImpl],cn.nc.issuance.bid.service.impl.query.QueryBondInfoServiceImpl#queryBondBasicInfo,1
Optional[cn.nc.pub.msg.service.dto.log.AuditLogRespDto],cn.nc.pub.msg.service.dto.log.AuditLogRespDto#getRemark,1
Optional[cn.nc.pub.msg.service.dto.productInstance.BookDcmProductInstanceDto],cn.nc.pub.msg.service.dto.productInstance.BookDcmProductInstanceDto#getBenchmarkIrstRateInit,1
Optional[cn.nc.pub.msg.service.dto.productInstance.BookDcmProductInstanceDto],cn.nc.pub.msg.service.dto.productInstance.BookDcmProductInstanceDto#setIsOverhandStyle,0
Optional[cn.nc.channel.backend.adapter.repository.po.CustomizeLayoutPo],cn.nc.channel.backend.adapter.repository.po.CustomizeLayoutPo#getIdentityId,1
Optional[cn.nc.user.instuser.service.impl.InstThirdUserRelApplyServiceImpl],cn.nc.user.instuser.service.impl.InstThirdUserRelApplyServiceImpl#checkAndBuildApplyData,151
Optional[cn.nc.channel.auth.outer.adapter.repository.po.BasePo],cn.nc.channel.auth.outer.adapter.repository.po.BasePo#getId,1
Optional[cn.nc.user.cfaeacct.service.impl.CfaeAccountHisServiceImpl],cn.nc.user.cfaeacct.service.impl.CfaeAccountHisServiceImpl#cfaeAcctBatchDeleteCenter,2
Optional[cn.nc.user.inst.facade.controller.QueryListInstMaintenanceHistoryController],cn.nc.user.inst.facade.controller.QueryListInstMaintenanceHistoryController#doService,1
Optional[cn.nc.issuance.book.dcm.query.facade.controller.purchaseManage.PurchaseOfferManageListController],cn.nc.issuance.book.dcm.query.facade.controller.purchaseManage.PurchaseOfferManageListController#doService,1
Optional[cn.nc.issuance.book.dcm.utils.DateTimeUtil],cn.nc.issuance.book.dcm.utils.DateTimeUtil#formatISODateTime,1
Optional[cn.nc.issuance.book.dcm.query.service.dto.directinvestor.whitelist.AccountWhiteHisShchDto],cn.nc.issuance.book.dcm.query.service.dto.directinvestor.whitelist.AccountWhiteHisShchDto#getUpdateTimestamp,1
Optional[cn.nc.user.conf.SysConfigFieldService],cn.nc.user.conf.SysConfigFieldService#confAccountTabList,0
Optional[cn.nc.pub.msg.facade.controller.outside.PubBookCrmwProductInstanceReceiveController],cn.nc.pub.msg.facade.controller.outside.PubBookCrmwProductInstanceReceiveController#receiveBookCrmwProductInstance,1
Optional[cn.nc.pub.msg.adapter.repository.po.MsgSendOperatorPo],cn.nc.pub.msg.adapter.repository.po.MsgSendOperatorPo#getAccount,1
Optional[cn.nc.user.staff.service.impl.UserServiceImpl],cn.nc.user.staff.service.impl.UserServiceImpl#modifyUserInfo,23
Optional[cn.nc.channel.backend.service.dto.layout.PageLayoutConfigQueryReqDto],cn.nc.channel.backend.service.dto.layout.PageLayoutConfigQueryReqDto#setUseStatus,0
Optional[cn.nc.channel.msg.client.dto.MessageTargetInfoDto],cn.nc.channel.msg.client.dto.MessageTargetInfoDto#getTerminalType,1
Optional[cn.nc.channel.backend.adapter.repository.po.PageLayoutConfigPo],cn.nc.channel.backend.adapter.repository.po.PageLayoutConfigPo#setInputUserName,0
Optional[cn.nc.user.dict.service.impl.SysDictionaryServiceImpl],cn.nc.user.dict.service.impl.SysDictionaryServiceImpl#sysDictionaryDelete,8
Optional[cn.nc.pub.wkcl.converter.TradeCalMapperImpl],cn.nc.pub.wkcl.converter.TradeCalMapperImpl#poToResp,6
Optional[cn.nc.common.util.TreeNode],cn.nc.common.util.TreeNode#getParentKey,0
Optional[cn.nc.pub.msg.service.dto.productInstance.BookDcmProductInstanceDto],cn.nc.pub.msg.service.dto.productInstance.BookDcmProductInstanceDto#setPublisherAccount,0
Optional[cn.nc.operation.base.model.dto.AbstractEntityDto],cn.nc.operation.base.model.dto.AbstractEntityDto#getModifyUserId,1
Optional[cn.nc.user.cfaeacct.service.impl.CfaeAccountHisServiceImpl],cn.nc.user.cfaeacct.service.impl.CfaeAccountHisServiceImpl#cfaeAcctApprovePass4OpenApply,5
Optional[cn.nc.operation.task.engine.feign.param.InstUserDto],cn.nc.operation.task.engine.feign.param.InstUserDto#setInstUserStatus,0
Optional[cn.nc.issuance.book.dcm.facade.controller.publishadmin.ConsignGroupOfferReplyController],cn.nc.issuance.book.dcm.facade.controller.publishadmin.ConsignGroupOfferReplyController#doService,1
Optional[cn.nc.user.cfaeuser.dto.CfaeRegisterUserDto],cn.nc.user.cfaeuser.dto.CfaeRegisterUserDto#getName,1
Optional[cn.nc.issuance.book.dcm.query.service.bond.BondMgrService],cn.nc.issuance.book.dcm.query.service.bond.BondMgrService#getPrdtRatingList,0
Optional[cn.nc.channel.msg.ChannelMsgModuleApplication],cn.nc.channel.msg.ChannelMsgModuleApplication#main,0
Optional[cn.nc.issuance.book.dcm.service.impl.PricingPlacingServiceImpl],cn.nc.issuance.book.dcm.service.impl.PricingPlacingServiceImpl#confirmOrRefuseAmount,11
Optional[cn.nc.issuance.common.service.dto.RspHead],cn.nc.issuance.common.service.dto.RspHead#getServRespDescInfo,1
Optional[cn.nc.pub.msg.service.dto.productInstance.BookFinCcdcProductInstanceDto],cn.nc.pub.msg.service.dto.productInstance.BookFinCcdcProductInstanceDto#getAppType,1
Optional[cn.nc.common.log.filter.BootLogFilter],cn.nc.common.log.filter.BootLogFilter#decide,4
Optional[cn.nc.issuance.bid.holder.HttpContextHolder],cn.nc.issuance.bid.holder.HttpContextHolder#getHeader,1
Optional[cn.nc.user.instuser.service.impl.instUserTaskServiceImpl],cn.nc.user.instuser.service.impl.instUserTaskServiceImpl#taskSubmit,0
Optional[cn.nc.pub.msg.service.dto.productInstance.BookFinShchProductInstanceDto],cn.nc.pub.msg.service.dto.productInstance.BookFinShchProductInstanceDto#setDistributeBeginDate,0
Optional[cn.nc.operation.task.engine.service.ExecutionContext],cn.nc.operation.task.engine.service.ExecutionContext#setProcessInstanceInfo,0
Optional[cn.nc.pub.msg.service.dto.productInstance.BookCrmwProductInstanceDto],cn.nc.pub.msg.service.dto.productInstance.BookCrmwProductInstanceDto#getSubRateUnit,1
Optional[cn.nc.pub.msg.service.dto.productInstance.BookFinCcdcProductInstanceDto],cn.nc.pub.msg.service.dto.productInstance.BookFinCcdcProductInstanceDto#setBenchmarkIrstRate,0
Optional[cn.nc.user.initinst.service.InstOpenApplyService],cn.nc.user.initinst.service.InstOpenApplyService#approvalPass,0
Optional[cn.nc.issuance.bid.utils.DateUtil],cn.nc.issuance.bid.utils.DateUtil#getFormatTime,9
Optional[cn.nc.issuance.dist.adapter.feign.MemberFeignService],cn.nc.issuance.dist.adapter.feign.MemberFeignService#cfaeAcctDepositQueryList,0
Optional[cn.nc.pub.msg.service.dto.productInstance.BiddingCcdcProductInstanceDto],cn.nc.pub.msg.service.dto.productInstance.BiddingCcdcProductInstanceDto#getInvDirectTransOption,1
Optional[cn.nc.issuance.common.utils.FileManageUtil],cn.nc.issuance.common.utils.FileManageUtil#createFile,3
Optional[cn.nc.operation.base.facade.controller.work.WorkGroupSaveController],cn.nc.operation.base.facade.controller.work.WorkGroupSaveController#doService,1
Optional[cn.nc.user.reguser.facade.controller.QueryRegThirdUserRelListController],cn.nc.user.reguser.facade.controller.QueryRegThirdUserRelListController#queryThirdUserRelList,1
Optional[cn.nc.channel.log.adapter.repository.po.AuditLogHis],cn.nc.channel.log.adapter.repository.po.AuditLogHis#setDigest,0
Optional[cn.nc.issuance.book.dcm.query.service.QueryStatisticsService],cn.nc.issuance.book.dcm.query.service.QueryStatisticsService#underWritingRatioChangeExport,0
Optional[cn.nc.pub.msg.service.dto.productInstance.BookCrmwProductInstanceDto],cn.nc.pub.msg.service.dto.productInstance.BookCrmwProductInstanceDto#getExtendDay,1
Optional[cn.nc.issuance.book.dcm.utils.DateUtil],cn.nc.issuance.book.dcm.utils.DateUtil#getYear2,7
Optional[cn.nc.issuance.book.dcm.query.converter.PurchaseHistoryTaskConverterImpl],cn.nc.issuance.book.dcm.query.converter.PurchaseHistoryTaskConverterImpl#toPoList,5
Optional[cn.nc.user.staff.service.dto.MessageDto],cn.nc.user.staff.service.dto.MessageDto#getMessageType,1
Optional[cn.nc.issuance.book.dcm.query.facade.controller.pricingplacing.BondCreateReachedBookController],cn.nc.issuance.book.dcm.query.facade.controller.pricingplacing.BondCreateReachedBookController#handle,1
Optional[cn.nc.common.transaction.support.config.TransactionSupportProperties.TransactionRetry],cn.nc.common.transaction.support.config.TransactionSupportProperties.TransactionRetry#getBusinessType,1
Optional[cn.nc.issuance.book.dcm.query.facade.controller.systemadmin.SendPurchaseDetailQueryController],cn.nc.issuance.book.dcm.query.facade.controller.systemadmin.SendPurchaseDetailQueryController#handle,1
Optional[cn.nc.message.head.req.ReqHeader],cn.nc.message.head.req.ReqHeader#setServTpCd,0
Optional[cn.nc.issuance.book.dcm.query.service.dto.directinvestor.DirectInvestorAdminResultDto],cn.nc.issuance.book.dcm.query.service.dto.directinvestor.DirectInvestorAdminResultDto#getBusiTypeName,1
Optional[cn.nc.user.ind.converter.UserConverterImpl],cn.nc.user.ind.converter.UserConverterImpl#toDto,4
Optional[cn.nc.issuance.common.service.impl.BussinessAllBillsQueryServiceImpl],cn.nc.issuance.common.service.impl.BussinessAllBillsQueryServiceImpl#innerQuery,1
Optional[cn.nc.issuance.book.dcm.query.converter.UnderwriterRatioinfoTaskConverterImpl],cn.nc.issuance.book.dcm.query.converter.UnderwriterRatioinfoTaskConverterImpl#toPoList,5
Optional[cn.nc.user.reguser.facade.controller.UnbindThirdUserController],cn.nc.user.reguser.facade.controller.UnbindThirdUserController#unbindThirdUserByCheckcode,1
Optional[cn.nc.channel.mix.service.IssuanceQueryService],cn.nc.channel.mix.service.IssuanceQueryService#queryContactInfo,0
Optional[cn.nc.issuance.book.dcm.service.dto.PlacingResultEntity],cn.nc.issuance.book.dcm.service.dto.PlacingResultEntity#getOrganizationPhone,1
Optional[cn.nc.user.ukey.facade.controller.GetUkeyExpressDetailsController],cn.nc.user.ukey.facade.controller.GetUkeyExpressDetailsController#doService,1
Optional[cn.nc.issuance.dist.facade.controller.DistHisAgreDetailQueryController],cn.nc.issuance.dist.facade.controller.DistHisAgreDetailQueryController#doService,1
Optional[cn.nc.issuance.book.dcm.service.impl.ConsigneeGroupServiceImpl],cn.nc.issuance.book.dcm.service.impl.ConsigneeGroupServiceImpl#getPublisherName,6
Optional[cn.nc.issuance.book.dcm.service.impl.ConsigneeGroupServiceImpl],cn.nc.issuance.book.dcm.service.impl.ConsigneeGroupServiceImpl#stopGroup,19
Optional[cn.nc.pub.msg.service.dto.productInstance.BookDcmProductInstanceDto],cn.nc.pub.msg.service.dto.productInstance.BookDcmProductInstanceDto#setBondEnglishShortName,0
Optional[cn.nc.channel.msg.converter.NoticeTargetConverterImpl],cn.nc.channel.msg.converter.NoticeTargetConverterImpl#toDto,4
Optional[cn.nc.channel.auth.outer.service.dto.login.InstUserDto],cn.nc.channel.auth.outer.service.dto.login.InstUserDto#setBindusername,0
Optional[cn.nc.user.external.facade.controller.BussRoleListController],cn.nc.user.external.facade.controller.BussRoleListController#getInstRoleList,1
Optional[cn.nc.issuance.book.dcm.query.service.dto.querystatistics.PublishSuccBondInfoQueryDto],cn.nc.issuance.book.dcm.query.service.dto.querystatistics.PublishSuccBondInfoQueryDto#setBondType,0
Optional[cn.nc.channel.backend.service.impl.IdentityMappingQueryServiceImpl],cn.nc.channel.backend.service.impl.IdentityMappingQueryServiceImpl#queryRelIdentityMappingInfo,7
Optional[cn.nc.channel.auth.outer.service.AppMobileRegistrationService],cn.nc.channel.auth.outer.service.AppMobileRegistrationService#registerAppMobileUser,0
Optional[cn.nc.channel.backend.service.dto.homepage.PageDispOrderQueryReqDto],cn.nc.channel.backend.service.dto.homepage.PageDispOrderQueryReqDto#getTabType,1
Optional[cn.nc.issuance.book.dcm.service.dto.ComputeBase.AmountRela],cn.nc.issuance.book.dcm.service.dto.ComputeBase.AmountRela#getKey,1
Optional[cn.nc.user.cfaeuser.dto.CfaeRegisterUserDto],cn.nc.user.cfaeuser.dto.CfaeRegisterUserDto#getCard,1
Optional[cn.nc.operation.base.model.dto.task.ClaimResult],cn.nc.operation.base.model.dto.task.ClaimResult#setTasks,0
Optional[cn.nc.channel.search.support.IndexCreateSupport],cn.nc.channel.search.support.IndexCreateSupport#buildCreateIndexRequest,1
Optional[cn.nc.channel.mix.model.dto.DistributableBondQueryRequest],cn.nc.channel.mix.model.dto.DistributableBondQueryRequest#setDate,0
Optional[cn.nc.pub.msg.service.dto.productInstance.BookFinCcdcProductInstanceDto],cn.nc.pub.msg.service.dto.productInstance.BookFinCcdcProductInstanceDto#setAnnounceOptionDate,0
Optional[cn.nc.user.instuser.converter.InstUserHisConverter],cn.nc.user.instuser.converter.InstUserHisConverter#toInstUserPo4HisPo,0
Optional[cn.nc.user.inst.service.InstInfoHisService],cn.nc.user.inst.service.InstInfoHisService#batchDelete,0
Optional[cn.nc.pub.msg.service.ParameterQueryService],cn.nc.pub.msg.service.ParameterQueryService#query,0
Optional[cn.nc.issuance.book.dcm.service.dto.BookApplicationSceenEntityNew],cn.nc.issuance.book.dcm.service.dto.BookApplicationSceenEntityNew#setTimeCheck,0
Optional[cn.nc.pub.msg.facade.controller.outside.PubParameterRuleQueryController],cn.nc.pub.msg.facade.controller.outside.PubParameterRuleQueryController#getParameterRule,1
Optional[cn.nc.issuance.book.dcm.batch.service.impl.PurchaseDetailsTotalTaskServiceImpl],cn.nc.issuance.book.dcm.batch.service.impl.PurchaseDetailsTotalTaskServiceImpl#insertPurchaseTotalTaskHis,15
Optional[cn.nc.user.reguser.facade.controller.UnbindThirdInstUserController],cn.nc.user.reguser.facade.controller.UnbindThirdInstUserController#unbindThirdInstUserByCheckcode,1
Optional[cn.nc.channel.auth.outer.service.dto.password.UserResetPwdReqDto],cn.nc.channel.auth.outer.service.dto.password.UserResetPwdReqDto#getType,1
Optional[cn.nc.issuance.book.dcm.query.service.impl.GroupInvitationQueryServiceImpl],cn.nc.issuance.book.dcm.query.service.impl.GroupInvitationQueryServiceImpl#queryQualifiedInvestor,5
Optional[cn.nc.issuance.book.dcm.service.dto.querystatistics.GroupFeeManagementDto],cn.nc.issuance.book.dcm.service.dto.querystatistics.GroupFeeManagementDto#setBankNameBefore,0
Optional[cn.nc.channel.mix.controller.channel.issuedbond.QueryIssuedFinancialBondsController],cn.nc.channel.mix.controller.channel.issuedbond.QueryIssuedFinancialBondsController#queryIssuedFinancialBonds,1
Optional[cn.nc.pub.msg.service.dto.log.MsgEmailRecordRespDto],cn.nc.pub.msg.service.dto.log.MsgEmailRecordRespDto#setInputTime,0
Optional[cn.nc.user.xfile.facade.controller.XFileExtController],cn.nc.user.xfile.facade.controller.XFileExtController#batchDeleteByIds,10
Optional[cn.nc.common.transaction.support.impl.RequestMessageEntity],cn.nc.common.transaction.support.impl.RequestMessageEntity#setBusinessKey,0
Optional[cn.nc.pub.msg.service.dto.setting.MsgTemplateRespDto],cn.nc.pub.msg.service.dto.setting.MsgTemplateRespDto#getTemplateName,1
Optional[cn.nc.channel.mix.adapter.repository.dao.DcmBondDao],cn.nc.channel.mix.adapter.repository.dao.DcmBondDao#queryInstitutionBondUnderwritingStats,0
Optional[cn.nc.channel.mix.model.dto.DisclosureQueryResponse],cn.nc.channel.mix.model.dto.DisclosureQueryResponse#getDetailUrl,1
Optional[cn.nc.issuance.dist.service.DistInfoService],cn.nc.issuance.dist.service.DistInfoService#checkMemOfRegNotice,0
Optional[cn.nc.user.ukey.service.impl.UkeyServiceImpl],cn.nc.user.ukey.service.impl.UkeyServiceImpl#list,1
Optional[cn.nc.channel.msg.service.impl.MessageFileServiceImpl],cn.nc.channel.msg.service.impl.MessageFileServiceImpl#findByMessageId,1
Optional[cn.nc.channel.backend.service.dto.component.ComponentRelQuickEntranceRespDto],cn.nc.channel.backend.service.dto.component.ComponentRelQuickEntranceRespDto#setResourceLevel,0
Optional[cn.nc.issuance.bid.facade.controller.biddingManagement.bidInfoMgmt.QueryBidInfoMgmtHpController],cn.nc.issuance.bid.facade.controller.biddingManagement.bidInfoMgmt.QueryBidInfoMgmtHpController#handle,1
Optional[cn.nc.user.inst.service.impl.InstInfoHisServiceImpl],cn.nc.user.inst.service.impl.InstInfoHisServiceImpl#list,18
Optional[cn.nc.issuance.book.dcm.service.dto.bill.PlacingResultReport],cn.nc.issuance.book.dcm.service.dto.bill.PlacingResultReport#setRate,0
Optional[cn.nc.common.send.po.MsgEmailRecordPo],cn.nc.common.send.po.MsgEmailRecordPo#setParams,0
Optional[cn.nc.user.reguser.service.dto.UserIdentifyDto],cn.nc.user.reguser.service.dto.UserIdentifyDto#getIdentifyWay,1
Optional[cn.nc.issuance.book.dcm.service.impl.BookLocalAppointmentAuditServiceImpl],cn.nc.issuance.book.dcm.service.impl.BookLocalAppointmentAuditServiceImpl#mkDir,9
Optional[cn.nc.pub.wkcl.service.CalendarCoreService],cn.nc.pub.wkcl.service.CalendarCoreService#workDayCount,0
Optional[cn.nc.channel.auth.outer.service.dto.login.WebEmailLoginReqDto],cn.nc.channel.auth.outer.service.dto.login.WebEmailLoginReqDto#getEmail,1
Optional[cn.nc.channel.mix.model.dto.RegistrationElementsResponse],cn.nc.channel.mix.model.dto.RegistrationElementsResponse#getSpreadRate,1
Optional[cn.nc.issuance.book.dcm.query.facade.controller.hisinfoquery.RegistrationNoticeDownLoadController],cn.nc.issuance.book.dcm.query.facade.controller.hisinfoquery.RegistrationNoticeDownLoadController#handle,1
Optional[cn.nc.user.seal.service.impl.SealTaskServiceImpl],cn.nc.user.seal.service.impl.SealTaskServiceImpl#getCompleteParamEntity,2
Optional[cn.nc.issuance.book.dcm.query.service.impl.bond.BondIssMgrServiceImpl],cn.nc.issuance.book.dcm.query.service.impl.bond.BondIssMgrServiceImpl#bondConfirmInfoQuery,2
Optional[cn.nc.issuance.book.dcm.batch.jobs.UnannouncedBondExpiredJob],cn.nc.issuance.book.dcm.batch.jobs.UnannouncedBondExpiredJob#execute,4
Optional[cn.nc.issuance.book.dcm.query.service.dto.querystatistics.PublishSuccBondInfoQueryDto],cn.nc.issuance.book.dcm.query.service.dto.querystatistics.PublishSuccBondInfoQueryDto#setPayInDate,0
Optional[cn.nc.user.task.service.BusinessTaskQueryService],cn.nc.user.task.service.BusinessTaskQueryService#getLastTaskByBusinessKey,0
Optional[cn.nc.channel.mix.config.Knife4jConfig],cn.nc.channel.mix.config.Knife4jConfig#customOpenApi,1
Optional[cn.nc.channel.mix.service.IssuanceQueryService],cn.nc.channel.mix.service.IssuanceQueryService#queryPublishResult,0
Optional[cn.nc.channel.msg.service.impl.MessageStatusServiceImpl],cn.nc.channel.msg.service.impl.MessageStatusServiceImpl#getMessageStatusPoList,1
Optional[cn.nc.user.cfaeacct.service.impl.CfaeAccountHisServiceImpl],cn.nc.user.cfaeacct.service.impl.CfaeAccountHisServiceImpl#updateHisAcct,0
Optional[cn.nc.issuance.book.dcm.service.dto.RspHead],cn.nc.issuance.book.dcm.service.dto.RspHead#setServRespCd,0
Optional[cn.nc.issuance.book.dcm.query.service.PublishSolutionService],cn.nc.issuance.book.dcm.query.service.PublishSolutionService#getPreview,0
Optional[cn.nc.issuance.book.dcm.service.dto.nxMessage.SendNxMassageEntityDTO],cn.nc.issuance.book.dcm.service.dto.nxMessage.SendNxMassageEntityDTO#setPublishFlowNode,0
Optional[cn.nc.user.ukey.validator.UkeyExpressValidator],cn.nc.user.ukey.validator.UkeyExpressValidator#requireReceiverPhone,1
Optional[cn.nc.issuance.book.dcm.query.service.dto.querystatistics.PublishSuccBondInfoResultDto],cn.nc.issuance.book.dcm.query.service.dto.querystatistics.PublishSuccBondInfoResultDto#getBiddingRate,1
Optional[cn.nc.user.staff.service.PositionPermissionService],cn.nc.user.staff.service.PositionPermissionService#add,0
Optional[cn.nc.issuance.book.dcm.query.facade.controller.hisinfoquery.PublishSolutionBatchDownLoadController],cn.nc.issuance.book.dcm.query.facade.controller.hisinfoquery.PublishSolutionBatchDownLoadController#doService,1
Optional[cn.nc.pub.msg.facade.controller.parameterTemplate.ParameterTemplateDeleteController],cn.nc.pub.msg.facade.controller.parameterTemplate.ParameterTemplateDeleteController#doService,1
Optional[cn.nc.user.reguser.service.impl.UserIdentifyHisServiceImpl],cn.nc.user.reguser.service.impl.UserIdentifyHisServiceImpl#saveBatchUserIdentifyHis,5
Optional[cn.nc.issuance.bid.service.operation.BidSuppAdmiAddService],cn.nc.issuance.bid.service.operation.BidSuppAdmiAddService#cancelAdditionAdd,0
Optional[cn.nc.channel.backend.adapter.repository.po.ChanConcernBondPo],cn.nc.channel.backend.adapter.repository.po.ChanConcernBondPo#setBondId,0
Optional[cn.nc.issuance.book.dcm.query.facade.controller.bondAdd.BondBookManagerListController],cn.nc.issuance.book.dcm.query.facade.controller.bondAdd.BondBookManagerListController#doService,1
Optional[cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.PublishSuccBondQueryController],cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.PublishSuccBondQueryController#publishSuccBondInfoQuery,1
Optional[cn.nc.user.cfaeacct.CfaeAccountService],cn.nc.user.cfaeacct.CfaeAccountService#operatorDepositAcctQueryList,0
Optional[cn.nc.issuance.book.dcm.query.service.impl.QueryCurrentDateBondStaticsServiceImpl],cn.nc.issuance.book.dcm.query.service.impl.QueryCurrentDateBondStaticsServiceImpl#getData,1
Optional[cn.nc.pub.msg.converter.MsgSendRecordMapperImpl],cn.nc.pub.msg.converter.MsgSendRecordMapperImpl#poPageToDtoPage,4
